日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-05-20,'601995,中金公司,37.49,37.7,37.01,37.12,37.05,0.44,1.1876,1.3302,12365466,462650680.0,1.80973859981e+11,34851501824.7
2022-05-19,'601995,中金公司,37.05,37.07,36.42,36.61,37.29,-0.24,-0.6436,0.8017,7452767,273620704.0,1.78849866959e+11,34442468461.1
2022-05-18,'601995,中金公司,37.29,37.63,37.15,37.37,37.16,0.13,0.3498,0.946,8794149,329085907.0,1.80008408608e+11,34665577568.5
2022-05-17,'601995,中金公司,37.16,37.39,36.56,36.9,37.03,0.13,0.3511,0.775,7204846,266779263.0,1.79380865215e+11,34544726802.0
2022-05-16,'601995,中金公司,37.03,37.58,36.76,37.45,36.98,0.05,0.1352,0.7746,7200926,267252071.0,1.78753321822e+11,34423876035.4
2022-05-13,'601995,中金公司,36.98,37.38,36.68,37.01,36.94,0.04,0.1083,0.7835,7283181,269507219.0,1.78511958979e+11,34377394971.4
2022-05-12,'601995,中金公司,36.94,37.5,36.05,36.3,36.75,0.19,0.517,0.8281,7698590,283183173.0,1.78318868704e+11,34340210120.1
2022-05-11,'601995,中金公司,36.75,37.6,36.41,36.58,36.58,0.17,0.4647,1.3743,12775903,472881510.0,1.77401689899e+11,34163582076.8
2022-05-10,'601995,中金公司,36.58,36.92,35.6,35.72,36.03,0.55,1.5265,0.9814,9123118,332205826.0,1.76581056231e+11,34005546459.0
2022-05-09,'601995,中金公司,36.03,36.29,35.68,35.8,35.92,0.11,0.3062,0.4904,4558862,164302775.0,1.73926064954e+11,33494254754.4
2022-05-06,'601995,中金公司,35.92,36.38,35.8,36.12,36.79,-0.87,-2.3648,0.8485,7887875,284769231.0,1.73395066699e+11,33391996413.5
2022-05-05,'601995,中金公司,36.79,36.91,36.01,36.45,37.48,-0.69,-1.841,1.3096,12174448,444210783.0,1.77594780174e+11,34200766928.0
2022-04-29,'601995,中金公司,37.48,37.75,36.28,36.76,35.7,1.78,4.986,1.829,17003044,629380866.0,1.80925587413e+11,34842205611.9
2022-04-28,'601995,中金公司,35.7,36.69,35.4,36.44,36.79,-1.09,-2.9628,1.1051,10273067,369538990.0,1.72333070188e+11,33187479731.7
2022-04-27,'601995,中金公司,36.79,36.95,35.15,35.88,36.33,0.46,1.2662,1.4172,13174912,477188357.0,1.77594780174e+11,34200766928.0
2022-04-26,'601995,中金公司,36.33,38.06,35.99,37.8,37.4,-1.07,-2.861,1.4428,13412189,495843938.0,1.75374242014e+11,33773141138.7
2022-04-25,'601995,中金公司,37.4,39.0,37.0,37.37,38.47,-1.07,-2.7814,1.2985,12071507,460590656.0,1.80539406863e+11,34767835909.4
2022-04-22,'601995,中金公司,38.47,38.98,38.28,38.55,38.6,-0.13,-0.3368,0.8457,7861624,304247782.0,1.85704571712e+11,35762530680.1
2022-04-21,'601995,中金公司,38.6,39.58,38.32,38.68,38.99,-0.39,-1.0003,1.2071,11221600,436819539.0,1.86332115105e+11,35883381446.6
2022-04-20,'601995,中金公司,38.99,39.95,38.9,39.54,39.54,-0.55,-1.391,0.78,7251391,285520411.0,1.88214745283e+11,36245933746.2
2022-04-19,'601995,中金公司,39.54,40.2,39.25,39.9,39.99,-0.45,-1.1253,0.8809,8188863,324414145.0,1.90869736561e+11,36757225450.7
2022-04-18,'601995,中金公司,39.99,40.77,39.17,40.56,41.73,-1.74,-4.1697,1.3956,12974095,517781646.0,1.93042002151e+11,37175555027.2
2022-04-15,'601995,中金公司,41.73,42.6,41.5,41.81,42.2,-0.47,-1.1137,1.254,11657007,489987839.0,2.01441429102e+11,38793096056.1
2022-04-14,'601995,中金公司,42.2,42.58,41.63,42.3,41.87,0.33,0.7882,1.5571,14474676,610632090.0,2.0371023983e+11,39230018058.2
2022-04-13,'601995,中金公司,41.87,42.59,41.37,41.52,41.93,-0.06,-0.1431,1.6955,15762028,663626416.0,2.02117245063e+11,38923243035.5
2022-04-12,'601995,中金公司,41.93,42.3,39.74,39.74,39.91,2.02,5.0614,1.8902,17571616,727920256.0,2.02406880475e+11,38979020312.3
2022-04-11,'601995,中金公司,39.91,41.21,39.6,41.12,41.26,-1.35,-3.2719,1.062,9872963,395958786.0,1.92655821602e+11,37101185324.7
2022-04-08,'601995,中金公司,41.26,41.68,40.64,41.05,41.01,0.25,0.6096,0.9981,9278419,381813079.0,1.99172618374e+11,38356174054.1
2022-04-07,'601995,中金公司,41.01,42.29,40.99,42.0,41.9,-0.89,-2.1241,1.0809,10048615,418424216.0,1.97965804157e+11,38123768733.8
2022-04-06,'601995,中金公司,41.9,42.6,41.55,42.0,42.25,-0.35,-0.8284,1.1643,10823144,454274193.0,2.02262062769e+11,38951131673.9
2022-04-01,'601995,中金公司,42.25,42.6,41.33,41.4,41.61,0.64,1.5381,1.6509,15347195,647159951.0,2.03951602673e+11,39276499122.2
2022-03-31,'601995,中金公司,41.61,42.14,41.41,41.57,41.97,-0.36,-0.8578,1.2609,11721686,489477069.0,2.00862158277e+11,38681541502.4
2022-03-30,'601995,中金公司,41.97,41.98,40.53,40.53,40.18,1.79,4.455,1.9793,18399915,762271989.0,2.0259997075e+11,39016205163.6
2022-03-29,'601995,中金公司,40.18,41.28,40.04,40.96,40.93,-0.75,-1.8324,0.8344,7756363,314577691.0,1.93959180956e+11,37352183070.6
2022-03-28,'601995,中金公司,40.93,41.67,39.51,39.69,40.11,0.82,2.0444,1.4738,13700721,561591419.0,1.97579623607e+11,38049399031.3
2022-03-25,'601995,中金公司,40.11,41.3,40.08,41.01,41.11,-1.0,-2.4325,1.0471,9734110,395785264.0,1.93621272975e+11,37287109580.9
2022-03-24,'601995,中金公司,41.11,41.67,40.91,41.51,41.72,-0.61,-1.4621,0.9646,8966763,369772364.0,1.98448529843e+11,38216730861.9
2022-03-23,'601995,中金公司,41.72,42.13,41.62,41.7,41.78,-0.06,-0.1436,0.9325,8668403,362749198.0,2.01393156533e+11,38783799843.3
2022-03-22,'601995,中金公司,41.78,42.55,41.68,42.17,42.18,-0.4,-0.9483,1.1395,10593083,446159486.0,2.01682791945e+11,38839577120.2
2022-03-21,'601995,中金公司,42.18,42.5,41.72,42.33,42.8,-0.62,-1.4486,1.3585,12629276,531661895.0,2.03613694692e+11,39211425632.6
2022-03-18,'601995,中金公司,42.8,43.27,42.16,42.3,42.71,0.09,0.2107,1.6749,15570281,664611111.0,2.0660659395e+11,39787790826.8
2022-03-17,'601995,中金公司,42.71,44.37,42.23,44.37,44.04,-1.33,-3.02,3.162,29394342,1264656576.0,2.06172140832e+11,39704124911.5
2022-03-16,'601995,中金公司,44.04,45.0,40.5,41.2,41.11,2.93,7.1272,3.9999,37184366,1596969043.0,2.12592392467e+11,40940521215.2
2022-03-15,'601995,中金公司,41.11,42.28,39.8,39.95,40.54,0.57,1.406,3.7408,34775427,1441314026.0,1.98448529843e+11,38216730861.9
2022-03-14,'601995,中金公司,40.54,41.27,39.58,39.72,40.96,-0.42,-1.0254,2.225,20684422,837083540.0,1.95696993429e+11,37686846731.7
2022-03-11,'601995,中金公司,40.96,41.33,36.76,36.98,37.57,3.39,9.0232,3.2729,30425489,1205914712.0,1.97724441313e+11,38077287669.8
2022-03-10,'601995,中金公司,37.57,38.69,37.5,38.5,37.85,-0.28,-0.7398,1.9194,10194496,387650386.0,1.81360040531e+11,19954226527.2
2022-03-09,'601995,中金公司,37.85,39.18,36.01,39.0,38.76,-0.91,-2.3478,2.508,13320722,502287795.0,1.82711672454e+11,20102940485.8
2022-03-08,'601995,中金公司,38.76,39.83,38.71,39.38,39.45,-0.69,-1.749,2.1585,11464086,450338720.0,1.87104476204e+11,20586260851.6
2022-03-07,'601995,中金公司,39.45,42.14,39.27,42.14,42.28,-2.83,-6.6935,3.5459,18832780,758542244.0,1.90435283443e+11,20952734535.5
2022-03-04,'601995,中金公司,42.28,42.4,41.68,42.0,42.32,-0.04,-0.0945,1.2972,6889898,289839647.0,2.04096420379e+11,22455807760.7
2022-03-03,'601995,中金公司,42.32,42.89,42.23,42.8,42.59,-0.27,-0.634,1.0082,5354991,227634221.0,2.04289510654e+11,22477052611.9
2022-03-02,'601995,中金公司,42.59,42.73,42.3,42.37,42.76,-0.17,-0.3976,1.0632,5646915,240123002.0,2.05592870008e+11,22620455357.8
2022-03-01,'601995,中金公司,42.76,42.84,42.3,42.46,42.34,0.42,0.992,1.3662,7256416,308990001.0,2.06413503676e+11,22710745975.6
2022-02-28,'601995,中金公司,42.34,42.5,41.73,42.33,42.37,-0.03,-0.0708,1.2553,6666925,281026692.0,2.04386055791e+11,22487675037.5
2022-02-25,'601995,中金公司,42.37,42.95,42.27,42.7,42.42,-0.05,-0.1179,1.322,7021332,298936200.0,2.04530873497e+11,22503608676.0
2022-02-24,'601995,中金公司,42.42,43.77,41.83,43.6,43.9,-1.48,-3.3713,2.5223,13396480,571678437.0,2.04772236341e+11,22530164740.0
2022-02-23,'601995,中金公司,43.9,44.1,43.24,43.39,43.33,0.57,1.3155,1.3471,7154979,312378475.0,2.11916576505e+11,23316224235.9
2022-02-22,'601995,中金公司,43.33,44.18,43.06,43.9,44.32,-0.99,-2.2338,1.843,9788600,425698020.0,2.0916504009e+11,23013485105.7
2022-02-21,'601995,中金公司,44.32,44.6,43.52,43.58,43.46,0.86,1.9788,1.7998,9559097,421704804.0,2.1394402439e+11,23539295173.9
2022-02-18,'601995,中金公司,43.46,43.75,43.04,43.18,43.32,0.14,0.3232,0.9443,5015523,217299326.0,2.09792583483e+11,23082530872.3
2022-02-17,'601995,中金公司,43.32,43.95,43.3,43.6,43.8,-0.48,-1.0959,1.0894,5785945,252158630.0,2.09116767522e+11,23008173892.9
2022-02-16,'601995,中金公司,43.8,43.8,43.41,43.55,43.38,0.42,0.9682,1.2964,6885621,300545607.0,2.11433850818e+11,23263112107.8
2022-02-15,'601995,中金公司,43.38,43.63,43.03,43.54,43.43,-0.05,-0.1151,1.3855,7358896,318278147.0,2.09406402934e+11,23040041169.8
2022-02-14,'601995,中金公司,43.43,44.77,42.88,44.77,45.06,-1.63,-3.6174,2.233,11860124,518018042.0,2.09647765777e+11,23066597233.8
2022-02-11,'601995,中金公司,45.06,46.06,45.0,45.3,45.34,-0.28,-0.6176,1.7339,9209010,417849235.0,2.17516194472e+11,23932324921.9
2022-02-10,'601995,中金公司,45.34,45.36,44.88,45.2,45.26,0.08,0.1768,1.1806,6270565,283305424.0,2.18867826395e+11,24081038880.5
2022-02-09,'601995,中金公司,45.26,45.54,44.53,44.7,44.96,0.3,0.6673,1.5717,8347618,376913011.0,2.18481645846e+11,24038549178.1
2022-02-08,'601995,中金公司,44.96,44.98,43.81,43.96,43.97,0.99,2.2515,1.6249,8630171,383914168.0,2.17033468785e+11,23879212793.8
2022-02-07,'601995,中金公司,43.97,44.15,43.5,44.0,43.45,0.52,1.1968,1.4009,7440532,326156623.0,2.12254484486e+11,23353402725.6
2022-01-28,'601995,中金公司,43.45,45.1,43.35,44.66,44.28,-0.83,-1.8744,1.6148,8576745,379639382.0,2.09744310915e+11,23077219659.5
2022-01-27,'601995,中金公司,44.28,46.0,44.2,45.94,46.17,-1.89,-4.0936,1.881,9990239,451791663.0,2.13750934115e+11,23518050322.7
2022-01-26,'601995,中金公司,46.17,46.82,45.4,45.8,46.02,0.15,0.3259,1.7436,9260420,427373609.0,2.22874449596e+11,24521869543.8
2022-01-25,'601995,中金公司,46.02,47.33,45.96,46.95,47.05,-1.03,-2.1892,1.9203,10199238,476783943.0,2.22150361065e+11,24442201351.6
2022-01-24,'601995,中金公司,47.05,47.36,46.9,46.97,47.16,-0.11,-0.2332,1.1505,6110478,287626444.0,2.27122435639e+11,24989256271.0
2022-01-21,'601995,中金公司,47.16,47.8,46.93,47.59,47.89,-0.73,-1.5243,1.7752,9428637,444822095.0,2.27653433895e+11,25047679612.0
2022-01-20,'601995,中金公司,47.89,48.49,46.72,46.83,46.96,0.93,1.9804,3.3948,18030270,862002655.0,2.31177331409e+11,25435398147.1
2022-01-19,'601995,中金公司,46.96,47.33,46.5,46.78,46.87,0.09,0.192,1.7203,9137024,429306031.0,2.26687982521e+11,24941455355.8
2022-01-18,'601995,中金公司,46.87,47.62,46.5,47.11,47.2,-0.33,-0.6992,2.8148,14949754,703913072.0,2.26253529403e+11,24893654440.5
2022-01-17,'601995,中金公司,47.2,47.56,46.79,47.3,47.37,-0.17,-0.3589,1.7347,9213465,434609432.0,2.2784652417e+11,25068924463.2
2022-01-14,'601995,中金公司,47.37,48.1,47.32,47.64,48.21,-0.84,-1.7424,1.6576,8803819,418569895.0,2.28667157837e+11,25159215081.0
2022-01-13,'601995,中金公司,48.21,48.76,48.1,48.38,48.15,0.06,0.1246,1.9542,10379225,502736114.0,2.32722053606e+11,25605356957.0
2022-01-12,'601995,中金公司,48.15,48.29,47.8,48.01,47.97,0.18,0.3752,1.3116,6965957,334787547.0,2.32432418194e+11,25573489680.2
2022-01-11,'601995,中金公司,47.97,48.5,47.67,47.8,47.88,0.09,0.188,1.423,7557976,363824679.0,2.31563511958e+11,25477887849.6
2022-01-10,'601995,中金公司,47.88,48.02,47.3,47.57,47.32,0.56,1.1834,1.4764,7841551,374355552.0,2.3112905884e+11,25430086934.3
2022-01-07,'601995,中金公司,47.32,47.99,47.21,47.79,47.57,-0.25,-0.5255,1.8663,9912413,472202861.0,2.28425794994e+11,25132659016.9
2022-01-06,'601995,中金公司,47.57,48.66,47.21,48.57,48.86,-1.29,-2.6402,3.0803,16360218,780410472.0,2.29632609211e+11,25265439337.2
2022-01-05,'601995,中金公司,48.86,49.7,48.7,49.1,49.1,-0.24,-0.4888,2.3806,12643909,621128353.0,2.3585977057e+11,25950585789.7
2022-01-04,'601995,中金公司,49.1,49.28,48.51,49.21,49.03,0.07,0.1428,1.7172,9120525,445891143.0,2.37018312219e+11,26078054897.1
2021-12-31,'601995,中金公司,49.03,49.39,48.92,49.1,49.08,-0.05,-0.1019,1.633,8673109,425543367.0,2.36680404238e+11,26040876407.4
2021-12-30,'601995,中金公司,49.08,49.42,48.03,48.11,48.51,0.57,1.175,2.3963,12727383,622736442.0,2.36921767081e+11,26067432471.5
2021-12-29,'601995,中金公司,48.51,49.72,48.48,49.7,49.75,-1.24,-2.4925,2.2582,11993996,587497634.0,2.34170230667e+11,25764693341.3
2021-12-28,'601995,中金公司,49.75,49.87,49.01,49.5,49.19,0.56,1.1384,1.8994,10088052,498016935.0,2.40156029183e+11,26423283729.8
2021-12-27,'601995,中金公司,49.19,49.77,49.09,49.67,49.56,-0.37,-0.7466,1.5983,8489141,419222663.0,2.37452765337e+11,26125855812.4
2021-12-24,'601995,中金公司,49.56,50.62,49.52,50.25,50.3,-0.74,-1.4712,1.9997,10620853,530455038.0,2.39238850378e+11,26322370686.4
2021-12-23,'601995,中金公司,50.3,51.1,50.16,50.83,50.73,-0.43,-0.8476,1.638,8699866,438993021.0,2.4281102046e+11,26715400434.3
2021-12-22,'601995,中金公司,50.73,51.25,50.5,51.11,51.06,-0.33,-0.6463,1.4618,7764104,394146604.0,2.44886740914e+11,26943782585.1
2021-12-21,'601995,中金公司,51.06,51.29,50.07,50.5,50.44,0.62,1.2292,1.9799,10515597,533772238.0,2.4647973568e+11,27119052607.9
2021-12-20,'601995,中金公司,50.44,52.1,50.4,51.01,51.53,-1.09,-2.1153,2.1256,11289495,577743101.0,2.43486836422e+11,26789757413.6
2021-12-17,'601995,中金公司,51.53,52.87,51.45,52.79,52.59,-1.06,-2.0156,2.5743,13672861,711271113.0,2.48748546408e+11,27368679609.9
2021-12-16,'601995,中金公司,52.59,53.13,52.01,52.75,52.73,-0.14,-0.2655,2.2665,12037879,631226418.0,2.53865438688e+11,27931668167.8
2021-12-15,'601995,中金公司,52.73,53.85,52.6,52.78,52.69,0.04,0.0759,2.7252,14473936,768518681.0,2.5454125465e+11,28006025147.1
2021-12-14,'601995,中金公司,52.69,53.22,52.07,52.07,52.7,-0.01,-0.019,3.0713,16312263,858337168.0,2.54348164375e+11,27984780295.9
2021-12-13,'601995,中金公司,52.7,55.08,52.5,52.96,51.77,0.93,1.7964,6.6183,35151184,1884328730.0,2.54396436944e+11,27990091508.7
2021-12-10,'601995,中金公司,51.77,52.29,51.39,51.55,52.32,-0.55,-1.0512,3.3928,18020004,932745772.0,2.49907088056e+11,27496148717.4
2021-12-09,'601995,中金公司,52.32,53.1,50.26,50.67,50.71,1.61,3.1749,6.3839,33906415,1763833436.0,2.52562079334e+11,27788265421.9
2021-12-08,'601995,中金公司,50.71,50.75,49.67,50.45,49.97,0.74,1.4809,3.0098,15985541,804777430.0,2.44790195776e+11,26933160159.5
2021-12-07,'601995,中金公司,49.97,50.8,49.31,50.65,49.88,0.09,0.1804,2.9784,15819128,791359874.0,2.41218025694e+11,26540130411.6
2021-12-06,'601995,中金公司,49.88,51.97,49.88,50.68,49.9,-0.02,-0.0401,5.5992,29738492,1517581138.0,2.40783572576e+11,26492329496.3
2021-12-03,'601995,中金公司,49.9,50.97,49.47,49.75,49.75,0.15,0.3015,3.5278,18736745,937673151.0,2.40880117713e+11,26502951921.9
2021-12-02,'601995,中金公司,49.75,50.0,48.89,49.0,49.25,0.5,1.0152,3.833,20358085,1008998115.0,2.40156029183e+11,26423283729.8
2021-12-01,'601995,中金公司,49.25,50.0,47.6,47.6,47.6,1.65,3.4664,4.585,24351781,1198124774.0,2.37742400749e+11,26157723089.2
2021-11-30,'601995,中金公司,47.6,48.6,47.6,48.31,47.77,-0.17,-0.3559,2.0017,10631311,511224226.0,2.29777426917e+11,25281372975.6
2021-11-29,'601995,中金公司,47.77,48.2,47.7,47.88,48.61,-0.84,-1.728,1.8723,9944176,476485059.0,2.30598060584e+11,25371663593.4
2021-11-26,'601995,中金公司,48.61,49.29,48.47,49.0,49.05,-0.44,-0.897,1.9613,10416915,508530679.0,2.34652956353e+11,25817805469.4
2021-11-25,'601995,中金公司,49.05,49.98,48.98,49.55,49.8,-0.75,-1.506,2.6959,14318704,704953501.0,2.36776949375e+11,26051498833.0
2021-11-24,'601995,中金公司,49.8,50.85,48.15,48.6,48.6,1.2,2.4691,4.9301,26184916,1297704357.0,2.40397392026e+11,26449839793.8
2021-11-23,'601995,中金公司,48.6,49.39,48.19,48.36,48.53,0.07,0.1442,3.0527,16213781,793072102.0,2.34604683785e+11,25812494256.6
2021-11-22,'601995,中金公司,48.53,48.82,47.78,48.09,48.22,0.31,0.6429,2.9933,15898263,769843214.0,2.34266775804e+11,25775315766.9
